Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Turkmenistan,28876113,29419522,29842323,30111362,32452364,35739851,36343460,37104120,37574968,31365173,32716869,31994181,27516396,33443118,33933523,30604733,30556472,32025557,37605609,37466194,38000361,39890208,44520727,46446514,48232724,49372747,55890082,56666877,50169647,57110036,62182860,64533895,66375300,68033300,70230457,70163883,70231356,70446995,76318525,75337709
Uganda,527045,544697,613545,580422,616914,701855,768574,862875,800488,760855,779805,797791,797457,708177,925485,1018092,1061946,1208757,1254724,1360870,1417088,1446221,1512745,1607486,2017941,2383386,2709990,2779614,2999798,3569619,3824069,3626987,3754530,4089666,4525570,4790337,5373509,5498383,5720797,4892203
Ukraine,659952580,672464069,681926015,687938719,742188594,739271642,733236745,725848667,682616899,705829992,632536626,589060251,510199537,419266301,389864615,351408753,340242686,328578938,298203960,285337201,303559229,295673490,307017472,310362748,313118088,332670337,336364014,325532713,277293501,294078322,307952841,303976430,297249639,257508606,223822115,234005955,223084976,232032926,222579323,213908873
United Arab Emirates,36766936,36752774,35220453,46155642,49652535,47030086,47450353,48095598,54186135,51703774,56673423,57757056,65565563,72604782,70012283,72774932,73100847,80682526,77543763,111787053,100590959,83698221,105618741,111801797,114477675,121737475,133264015,153969705,165499676,180621656,192991346,201548069,205390401,201927104,216583104,214666772,168831314,154203574,154185760,150268152
United Kingdom,560554477,548240368,545485136,529108173,559627325,568553975,571667598,570293732,581576100,600343890,608430640,592883834,578635270,574640846,566567960,588187603,562333177,567600126,561108555,567585033,576313538,560066032,571471921,572903657,569962114,567571938,559236418,544498125,493894854,511631630,469453672,487516555,477387488,438540999,422340107,399337394,387565181,381889659,369009693,329578911
United States,4686171508,4447079918,4429186731,4661920937,4652382863,4663165469,4825444723,5050267778,5131926576,5113454675,5057930940,5167480847,5267343060,5358824048,5421502465,5610581589,5686464995,5731049595,5804668919,6010508353,5904881595,5946770566,6011837495,6114006880,6134521473,6051668046,6131004158,5914077766,5478209686,5675786435,5540173478,5338698344,5474256770,5522807202,5371770557,5248023931,5207751278,5375490614,5255816207,4712770573
Uruguay,5355957,4853822,3803538,3438156,3283824,3164926,3542533,4785973,4852638,3967289,4527678,5142888,4439220,4030404,4557192,5405165,5513665,5638758,6682218,5268017,5030443,4557757,4526888,5564822,5726669,6597095,5947501,8201629,7946771,6297960,7652644,8591791,7492373,6684323,6725465,6520440,6162573,6570970,6583985,5840060
Uzbekistan,92086705,93836338,95179746,96050974,103526974,99694072,99452750,109000876,109867108,103515759,102920705,110984327,115617242,107979978,102663682,105546009,106629578,118498913,121739198,120994017,122586352,127518315,125935969,125118217,116576172,119364938,119113158,123038846,106251774,103336000,112704612,114891110,109473193,104953028,101412072,108168748,107153232,114732232,114198988,112784345
Venezuela,91791584,93201040,92907945,93002890,101026511,109239828,110661134,115751755,108571086,121823036,115052176,105576784,123966331,129531168,132876193,122338416,133482705,166803906,172562678,151869910,171975048,192746571,191457512,151268097,163822999,160160226,149924084,168690196,169572855,184084056,175944973,182224419,207424913,186708214,180124211,169476933,161535508,120176685,99175323,84609478
Vietnam,17695406,18341627,19269692,17495162,21097419,20584666,23296900,23072536,17397909,21298647,21375535,21466459,22853002,26168861,28696697,34206458,44516863,46791454,46889833,52600951,59654045,68499452,76047699,87743442,94693883,98625742,100362015,113326892,123442875,138585135,151230628,142552003,149220090,169006166,193003686,192765567,195249310,223717789,260312093,254303169
Yemen,4225439,5933604,6285599,7096980,8573361,8192041,8626651,9550232,9935053,9520184,9127376,9873645,8625426,8982038,10352088,10526331,11315914,12064542,13723955,14475379,16016834,15554371,17081395,18647044,19794359,21084874,20719069,22025267,24251389,23150591,20190194,18268332,24976297,24215664,12806287,10426915,9950980,9983747,10020408,9768313
Zambia,3358031,3510781,3260766,2804441,2732732,2865572,2673762,3109022,2570005,2407113,2381811,2424693,2466007,2393258,2142313,1837995,2354102,2278458,1777604,1784113,1885603,1960891,2074413,2104131,2242543,2231118,2294254,2553028,2940336,3120300,3372367,4165843,4416159,4876557,5097951,5659098,6517240,7313113,7047207,6572938
Zimbabwe,9405387,8779857,10425096,9879639,10213709,13068023,15170106,16029461,16113654,15551593,15501544,16713458,16046611,17393590,15028392,14908902,13911984,14131139,15727769,13818202,12508722,11895839,10609583,9428642,10698489,10365461,9835161,7720014,5476316,7878316,9743983,7882889,11836254,11905687,12225821,10737567,9581633,11854367,10949084,10531342
others,415598019,377910191,362346025,364610227,371942907,394889333,531139717,551243592,572393914,562729136,1034023068,564479785,570834678,600218060,635626869,686471118,720766155,764925517,792110515,804444128,797458509,819610853,858115042,930346073,970972636,1031557262,1094983872,1115918736,1071882390,1146335101,1181087417,1179655118,1201155805,1213485844,1259338371,1279077690,1332196284,1360790573,1348852856,1094711896
World,19026910179,18875760275,18998031557,19656716874,20317483523,20619623658,21266194534,22101399490,22406832518,22749574360,23238102148,22569624280,22803495349,22964583359,23453944453,24154961206,24300550431,24206271270,24518962288,25234207250,25451054498,26039191477,27366723291,28627533033,29602777196,30583530081,31493741589,32069444008,31607042410,33343300453,34468451046,34974075146,35283025443,35534442952,35496406339,35452459298,35925737687,36646139785,36702502903,34807259099
