Country,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Curacao,8045250,8995220,4622995,11544210,13512007,2590293,2302830,2268459,4318197,4624407,3690152,3040235,4693149,4499423,4452554,4165091,4358816,240594,1802894,4783762,4871251,4696273,4699398,4930618,4886874,5093097,5733640,5514918,5643027,3887002,4958740,5836752,5503328,6408336,6924960,5800112,4426112,3828880,3761011,3335066
Cyprus,3095654,3157205,3151348,3234557,3144994,3606067,4184954,4197559,4429735,4651680,5141180,5515863,5759258,6000649,5872254,6222419,6310214,6607266,6873950,7120330,6994276,7183619,7574158,7800745,7954994,8182561,8501640,8714141,8468573,8099604,7786009,7261686,6581495,6949659,6970371,7373018,7523104,7340346,7339882,6496162
Czechia,179595650,177936751,178171982,184301619,181855103,183148592,180967731,177843720,169622805,164202710,148892387,144616942,138634269,132370351,131600512,134954556,130725010,125308969,116614327,127127423,127024288,123940088,127413414,128169219,125678621,126493458,128307200,122995055,115238793,117603433,115167624,111289362,106525802,104094900,104864605,106685441,107612791,106131600,100812345,87974706
Democratic Republic of Congo,3755424,3046965,3998000,3931640,3611908,3345663,3815863,3977992,4351992,4248965,3132604,2808223,2662330,1698214,2103614,2311092,1875443,1655511,1317470,892726,769774,850081,1037159,1149429,1445041,1552192,1696531,1810549,1694046,1961947,2439520,2356311,3537543,4630929,2792690,2014128,2473864,2779707,2688761,2477334
Denmark,51773059,53684430,50167913,50856492,60065327,58907152,58346474,55112279,48808831,53573406,64188666,58379818,60625621,64688838,61602249,74851794,65451195,61219066,58635471,54291739,55879240,55537933,60626347,55076073,51506467,59428761,54656001,51219830,48816007,49170504,44215177,39840159,41745896,37543417,35203694,37011386,34743087,34672351,30897261,26194912
Djibouti,300448,348080,348080,351744,359072,377392,388384,348080,388384,274800,285792,300448,300448,293120,311440,293120,329760,384720,384720,366400,366400,399376,421360,406704,414032,410368,461664,498304,458000,516624,472656,487312,556690,388306,447141,399509,403384,388728,402400,351464
Dominica,36640,40304,40304,43968,47632,47632,47632,54960,58624,58624,58624,58624,62288,65952,80608,73280,80608,76944,80608,102592,109920,102592,117248,142896,142896,142896,183200,164880,161216,172208,153888,164880,168544,175872,175872,179536,161216,161216,157356,139250
Dominican Republic,6135240,6303486,7865595,7390465,7241543,8121059,9687290,9739755,10257903,8936017,9538286,10418188,11208752,11796446,15106975,16484352,17265690,17788184,17821253,18991627,19144596,20949129,21345009,17333192,17940521,19111932,19992930,20331836,19780666,20553453,21317914,21254754,21266960,21800611,23494589,24644567,24016922,25698088,27520188,27769310
Ecuador,16652800,19235118,19502609,21189503,19352678,15194065,15022251,17168596,20153710,16457820,16157175,21959676,24088526,13539560,22686239,24024921,18206447,22313483,21364414,20562217,22940109,24753207,26746806,28785670,29969504,28894631,33685516,29573062,32503201,34825608,37398376,37154022,39362341,43206942,40759423,39504033,39275993,37919441,36757720,30931763
Egypt,50902684,56431167,56980476,63704312,63807233,74392898,74613521,74309478,71904562,75217533,77295842,79939884,92277980,84555822,94890392,93568654,107512839,121465771,124496184,140349710,124293719,125782381,146462658,149143319,165043688,176019064,185907328,194763997,203169672,200841483,213026647,208718329,206949168,221668030,219167386,234122634,250604761,227721467,225881552,213456746
El Salvador,1818731,1752098,1885365,1588299,1965338,1967496,2414492,2433068,2547246,2475071,3154717,3316777,3975594,4512672,4998356,4414490,5415735,5731188,5587859,5670975,5857395,6069883,6434851,6253812,6297707,6717812,6845580,6404717,6312459,6318629,6499405,6471882,6094472,6151155,6675315,6645795,6015817,6371211,6852675,6123716
Equatorial Guinea,69616,73280,62288,80608,65952,80608,98928,106256,117248,62288,65952,65952,69616,76944,84272,128240,304112,263808,406704,615552,2964176,7782336,7961872,9962416,8038816,7108160,5583936,6118880,5408064,6804048,9464112,9174656,11578240,11178864,10834448,11387712,12285392,11211840,10269780,10265267
Estonia,34463405,35114206,35616637,35935275,38762127,38760841,37862407,37919633,38869392,37649839,33823325,24355259,19403677,20036425,18212950,19134482,18645053,16916908,15911694,15485187,15866332,15348893,17234693,17367835,17156154,16502336,20021749,17875386,14488945,18995251,19090904,17846305,19737857,18885241,15859415,17567318,18788490,17944520,12380317,10452414
Ethiopia,1860007,1473914,1834754,1650281,1798710,2195246,2554381,2640066,2794114,2986507,2958472,2936737,2993623,2197201,2505953,2794189,2980158,3147422,3094276,3462855,4264586,4431687,4870232,5158551,4956129,5318177,5839596,6417597,6453445,6336871,7402480,8108686,9781029,12016546,12693593,14347424,15237885,16149221,16370961,14664773
Faeroe Islands,439680,458000,487312,498304,516624,490976,498304,527616,578912,703488,655856,648528,582576,575248,571584,600896,589904,622880,630208,688832,762112,725472,732800,747456,721808,677840,688832,630208,575248,630208,567920,589904,648528,597232,608224,630208,707152,725472,736044,683898
Fiji,1077173,835123,708926,577209,572991,598086,471995,549765,625202,804718,662360,741103,743123,737955,755017,814431,782808,761625,774787,833176,1045869,879737,1037013,1340918,1082308,1202662,1140350,879019,778450,1201720,1068238,1042187,1098788,1244223,1294297,1259717,1361855,1351627,1391540,1393413
Finland,51403281,42976475,41463371,42147141,49549076,53214366,57533400,52058082,52447930,56968380,55230404,54284403,56348154,61711042,58139983,64056529,62719213,59369603,58891935,57038198,62536132,65059823,72657796,68960708,57047263,68389147,66765402,58616619,55936521,64103398,56666649,51229342,51728113,47644671,44126333,47229214,44652056,45848982,42546042,39287631
France,457517006,438606692,421557477,410103912,403207462,388261654,385361706,382764684,396782299,392998429,417133786,406979372,387666505,381025934,385975389,402402889,395245277,413905746,411544213,405901062,410533356,406010421,411946138,413148836,415517543,405761299,395427663,387991843,368631190,376575652,353734944,355931515,357536915,325885736,329910376,333578746,336995589,322371888,315930736,276633893
French Guiana,326096,362736,384720,355408,366400,366400,417696,516624,670512,709655,799783,809735,859485,761331,711474,586401,546335,645274,514797,502873,558215,505891,645518,629917,594647,507507,600467,581599,765922,712224,714282,706429,692342,691310,702356,718358,705072,698756,728379,728379
French Polynesia,329760,337088,421360,461664,589904,608224,611888,575248,542272,439680,436016,414032,428688,443344,432352,436016,454336,450672,498304,571584,681504,685168,740128,725472,784096,780432,769440,795088,798752,802416,787760,773104,787760,769440,784096,758448,765776,802416,827108,828267
Gambia,157552,161216,161216,172208,172208,161216,179536,183200,179536,197856,197856,197856,208848,208848,216176,219840,223504,241824,274800,274800,300448,300448,300448,322432,326096,351744,351744,366400,381056,432352,447008,454336,432352,512960,523952,531280,534944,542272,546960,499912
Georgia,14031406,14295495,14500574,14631096,15770350,15571370,15724398,16315120,16192489,15945349,15869490,15276915,9915700,6067844,2290286,4053812,4426263,4939172,4310981,4500388,3732319,3351955,3735201,4275506,5017588,6096712,6365351,5308807,6135626,6208043,7804526,8251811,8009298,8934398,9746984,10066235,10179542,10104572,10480276,9968094
Germany,1048523357,1015733894,1011604905,1033244579,1044117955,1047471904,1032442842,1029024130,1008792342,1052476835,1014224521,965893262,956132116,939814629,938968408,959151308,931324201,923356691,895874334,899852056,916648522,899971399,901151903,887089127,866697224,878320430,851624329,854927145,790294719,832949108,809216919,813984654,831453838,792587770,795610215,800686632,785882918,754111607,711427809,644310352
